City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,saint-pierre,-21.3393,55.4781,23.82,53,20,10.8,RE,1726298379
125,glenfield park,-35.1372,147.334,13.23,60,86,1.34,AU,1726298380
126,san patricio,28.017,-97.5169,25.97,86,89,4.31,US,1726298381
127,taltal,-25.4,-70.4833,13.37,77,2,1.08,CL,1726298383
128,tahe,52.3333,124.7333,18.77,26,26,3.96,CN,1726298384
129,tonota,-21.4833,27.4833,30.06,15,5,3.66,BW,1726298385
130,weno,7.4515,151.8468,26.97,89,100,6.69,FM,1726298386
131,sinop,41.7711,34.8709,27.98,40,0,1.32,TR,1726298387
132,puerto baquerizo moreno,-0.9,-89.6,21.05,86,68,4.91,EC,1726298388
133,daru,-9.0763,143.2092,26.09,84,98,6.39,PG,1726298389
134,thinadhoo,0.5333,72.9333,28.5,72,0,2.12,MV,1726298390
135,sisimiut,66.9395,-53.6735,3.45,92,100,0.98,GL,1726298391
136,new norfolk,-42.7826,147.0587,5.51,77,22,2.49,AU,1726298393
137,yamrat,10.1116,9.826,23.22,85,94,1.17,NG,1726298394
138,margaret river,-33.95,115.0667,22.29,45,0,2.22,AU,1726298395
139,khandyga,62.6667,135.6,4.8,61,100,1.79,RU,1726298396
140,bardai,11.65,7.2333,22.24,91,100,0.76,NG,1726298397
141,alofi,-19.0595,-169.9187,22.94,88,20,3.6,NU,1726298398
142,ocos,14.5094,-92.1933,27.1,85,100,2.28,GT,1726298399
143,marsa alam,25.0757,34.8918,32.7,50,14,7.31,EG,1726298402
144,jilib,0.4883,42.7854,30.39,42,99,5.44,SO,1726298403
145,thompson,55.7435,-97.8558,18.09,94,75,1.54,CA,1726298404
146,usinsk,65.9939,57.5281,19.56,72,67,3.56,RU,1726298405
147,tsiombe,-25.3,45.4833,25.87,44,0,3.21,MG,1726298406
148,port alfred,-33.5906,26.891,17.88,86,84,0.45,ZA,1726298407
149,tura,25.5198,90.2201,26.6,86,100,1.97,IN,1726298408
150,ridgecrest,35.6225,-117.6709,24.92,27,0,3.6,US,1726298237
151,ciudad lazaro cardenas,17.9583,-102.2,27.1,87,100,1.78,MX,1726298410
152,metu,8.3,35.5833,16.62,96,100,1.04,ET,1726298412
153,saint-philippe,-21.3585,55.7679,19.2,74,88,7.16,RE,1726298414
154,qamdo,31.1667,97.2333,16.26,44,99,3.91,CN,1726298415
155,chonchi,-42.6128,-73.8092,3.95,93,93,0.7,CL,1726298416
156,tazacorte,28.629,-17.9293,22.54,68,40,5.14,ES,1726298417
157,aykhal,66.0,111.5,0.44,92,100,8.62,RU,1726298418
158,tiksi,71.6872,128.8694,2.69,92,100,9.63,RU,1726298419
159,ponta delgada,37.7333,-25.6667,20.4,77,75,1.54,PT,1726298420
160,toliara,-23.35,43.6667,29.78,40,0,0.73,MG,1726298422
161,saiha,22.4833,92.9667,24.36,99,100,1.47,IN,1726298423
162,luanda,-8.8368,13.2343,22.44,87,99,3.07,AO,1726298424
163,zeya,53.75,127.2667,16.4,36,11,1.25,RU,1726298425
